,0
0,"['wait', ""here's"", 'an', 'idea', 'it', 'be', 'natural', 'climate_change', 'not', 'human', 'induced', 'global_warming']"
1,"['i', 'have', 'it', 'on', 'good', 'auth', 'tht', 'global_warming', 'also', 'cause', 'toe', 'fungus', 'we', 'all', 'fortunate', 'tht', 'thr', 'be', 'no', 'global_warming', 'tcot']"
2,"['illegal', 'war', 'and', 'the', 'myth', 'of', 'global_warming', 'my', 'main', 'campaign', 'platform', 'for', 'this', 'election', 'will', 'be', 'the', 'illegal']"
3,"['the', 'scientific', 'community', 'be', 'scam', 'by', 'global', 'green', 'gov', 'warming', 'scam']"
4,"['40', 'degree', 'in', 'nyc', 'please', 'urinate', 'on', 'next', 'liberal', 'global_warming', 'climate_change', 'scum', 'you', 'see']"
5,"['hey', 'al_gore', 'see', 'these', 'tornado', 'race', 'across', 'mississippi', 'so_much', 'for', 'global_warming', 'tornadocot', 'ocra', 'sgp', 'gop', 'ucot', 'tlot', 'p2', 'tycot']"
6,"['justinbiebersucks', 'and', 'global_warming', 'be', 'a', 'farce']"
7,"['one', 'stop', 'book', 'stop', 'confirm', 'global_warming', 'be', 'settle', 'à_', 'a', 'a', 'scam', 'wnd.com', ""sussman's"", 'book', 'the']"
8,"['rationalist', 'who', 'believe', 'alien', 'exist', 'global_warming', 'cause', 'by', 'human', 'might', 'a', 'well', 'believe_in', 'jesus', 'miracle', 'angel', 'fairy', 'tcot_p2']"
9,"['proof', ""there's"", 'no', 'climate_change', '75', 'ft', 'killer', 'tsunami', 'create', 'in', 'a', 'peruvian', 'lake', 'when', 'a', 'glacier', 'fracture', 'fall', 'into', 'the', 'lake']"
10,"['real', 'science', 'not', ""algore's"", 'climate_change', 'science', 'hack', 'with', 'their', 'man-made', 'global_warming', 'hoax', 'gore', '=p', 'alin']"
11,"['30000', 'anti-global', 'warming', 'scientist', 'ca_not', 'be', 'wrong', 'stranger', 'nature', 'magazine', 'the', 'academic', 'journal', 'that', 'int']"
12,"['global_warming', 'baloney', 'accord_to', 'the', 'expert', 'at', 'nasa', 'the', 'difference', 'between', 'weather', 'and', 'climate', 'be', 'a', 'measure']"
13,"['computer', 'forensics', 'expert', 'be', 'there', 'still', 'any', 'idiot', 'out', 'there', 'that', 'belive', 'global_warming', 'be', 'true']"
14,"['liberal', 'looney', 'toon', 'global_warming', 'alarmist', 'come', 'home', 'with', 'artic', 'frost', 'bite', 'gather.com', 'they', 'wont', 'learn', 'huh', 'lo']"
15,"['don_blankenship', 'mine_safety', 'regulator', 'a_silly', 'a', 'global_warming']"
16,"['global', 'climate_change', 'not', 'global_warming']"
