,0
0,"['global_warming', 'report', 'urge', 'government', 'to', 'act', 'brussels', 'belgium', 'ap', 'the', 'world', 'face', 'increase', 'hunger', 'and']"
1,"['fight', 'poverty_and', 'global_warming', 'in', 'africa']"
2,"['carbon_offset', 'how', 'a', 'vatican', 'forest', 'fail', 'to', 'reduce', 'global_warming']"
3,"['uruguay', 'tool', 'need', 'for', 'those', 'most_vulnerable', 'to', 'climate_change']"
4,"['ocean_saltiness', 'show', 'global_warming', 'be', 'intensify_our', 'water_cycle']"
5,"['global_warming', 'evidence', 'all_around', 'u', 'a', 'message', 'to', 'global_warming', 'denier', 'and', 'doubter', 'just', 'look', 'around', 'our']"
6,"['migratory', 'bird', 'new', 'climate_change', 'strategy', 'stay', 'home']"
7,"['southern', 'africa', 'compete', 'for', 'limpopo', 'water', 'climate_change', 'will', 'bring', 'high_temperature', 'to', 'southe']"
8,"['global_warming', 'to', 'impact', 'wheat', 'rice', 'production', 'in', 'india', 'ludhiana', 'apr', '18', 'scarcity', 'of', 'water', 'will', 'have', 'a', 'serious']"
9,"['how', 'do', 'we', 'solve', 'this', 'global_warming', 'thing']"
10,"['blog', 'a', 'preliminary', 'analysis', 'suggests', 'that', 'natural', 'gas', 'could', 'contribute', 'far', 'more', 'to', 'global_warming', 'than', 'previously']"
11,"['ecotone', 'climate_change', 'from', 'a', 'population', 'perspective']"
12,"['climate_change', 'blame', 'a', 'coastal', 'whale', 'migration', 'dwindles', 'à_', 'ventura', 'county']"
13,"['government_report', 'say', 'global_warming', 'may_cause', 'cancer_mental', 'illness', 'cnsnews.com']"
14,"['for', 'earthday', 'global_warming', 'could', 'affect', 'patient', 'symptom']"
15,"['epa', 'issue', 'report', 'on', 'u', 'climate_change', 'indicator', 'warming', 'be', 'have', 'measurable', 'effect', 'across', 'ecosystem']"
16,"['qut', 'researcher', 'track', 'climate_change']"
17,"['global_warming', 'ocean_chemistry', 'be', 'change', 'faster_than', 'it', 'have', 'in', '800,000', 'year', 'and', 'that', 'be', 'because_of', 'the', 'carbon']"
18,"['topography', 'of', 'mountain', 'could', 'complicate', 'rate', 'of', 'global_warming', 'sciencedaily', 'apr', '25', '2010', 'à_', 'a', 'new', 'study', 'concl']"
19,"['soar', 'mercury', 'blame', 'it', 'on', 'global_warming', 'agartala', 'apr', '14', 'environmentalist', 'have', 'attribute', 'the']"
20,"['leader', 'of', 'national', 'indigenous', ""women's"", 'org', 'climate_change', 'be', 'not', 'just', 'abt', 'the', 'climate', 'it', 'abt', 'life', 'bit.ly/9gdzrw']"
21,"['have', 'there_be', 'any', 'reporting', 'on', 'if', 'the', 'increase', 'in', 'sediment', 'in', 'upper', 'atmospher', 'could', 'reduce', 'global_warming', 'effect', 'by', 'reduce', 'sun']"
22,"['effect_of', 'global_warming', 'à_', 'youtube', 'à_', 'effect_of', 'global_warming', 'stats', 'back', 'with', 'more', 'news', 'for', 'you', 'today', 'it', 'be', 'ama']"
23,"['it', 'be', 'global', 'climate', 'change-not', 'warming', 'ac', 'read']"
24,"['a', 'preliminary', 'analysis', 'suggests', 'that', 'natural', 'gas', 'could', 'contribute', 'far', 'more', 'to', 'global_warming', 'than', 'previously', 'thought']"
25,"['science', 'scientist', 'explore', 'the', 'evolution', 'of', 'climate_change']"
26,"['eaarth', 'global_warming', 'be', 'here', 'to', 'stay', 'how', 'will', 'we', 'deal_with', 'it']"
27,"['allergy_bad', 'than_ever', 'blame', 'global_warming']"
28,"['immigration', 'reform', 'and', 'climate_change', 'a', 'tale', 'of', 'two', 'issue', 'in', 'the', 'senate']"
29,"['people', 'world', 'grand', 'rapid', 'mich', 'opponent', 'of', 'climate_change', 'legislation', 'typically', 'argue', 'that', 'regulate', 'globa']"
30,"['check', 'this', 'video', 'out', 'the', 'business', 'of', 'climate_change', 'conference', '2009']"
31,"['global_warming', 'clearly']"
32,"['yes', 'i', 'have', 'heard', 'at', 'least', 'one', 'person', 'make', 'the', 'connection', 'between', 'the', 'volcano', 'and', 'global_warming']"
33,"['environmental', 'group', 'praise', 'basic', 'meeting', 'on', 'climate_change', 'environmental', 'group', 'be', 'give', 'qualify', 'praise', 'to', 'a']"
34,"['recycle', 'water', 'meat', 'and', 'global_warming', 'peanut', 'rare', 'grape']"
35,"['street-corner', 'global-warming', 'counsel', 'urgh', 'certain', 'element', 'of', 'this', 'item', 'in', ""sunday's"", 'washington', 'post', 'à_five', 'myth']"
36,"['be', 'you', 'ready', 'for', 'the', 'climate_change', 'pli', 'be', 'with', 'environmental', 'regulation', 'commercial', 'implication', '2010', 'how', 'the']"
37,"['live', 'tonight', 'fellow', 'heather_rogers', 'join', 'climate_change', 'expert', 'james_hansen', 'to', 'discus', 'real_solution', 'to', 'climate']"
38,"['plan_california', 'brace', 'for', 'climate_change']"
39,"['plant_effective', 'way', 'of', 'tackle', 'global_warming', 'washington', 'apr', '30', 'plant', 'leaf', 'account', 'for', 'less_than', 'one', 'per']"
