,0
0,"['global_warming', 'report', 'urge', 'government', 'to', 'act', 'brussels', 'belgium', 'ap', 'the', 'world', 'face', 'increase', 'hunger', 'and']"
1,"['fight', 'poverty_and', 'global_warming', 'in', 'africa']"
2,"['carbon_offset', 'how', 'a', 'vatican_forest', 'fail', 'to', 'reduce', 'global_warming']"
3,"['uruguay_tool', 'need', 'for_those', 'most_vulnerable', 'to', 'climate_change']"
4,"['ocean_saltiness', 'show', 'global_warming', 'be', 'intensify_our', 'water_cycle']"
5,"['global_warming', 'evidence', 'all', 'around', 'u', 'a', 'message', 'to', 'global_warming', 'denier', 'and', 'doubter', 'just', 'look', 'around', 'our']"
6,"['migratory', 'bird', 'new', 'climate_change', 'strategy', 'stay', 'home']"
7,"['southern', 'africa', 'compete', 'for', 'limpopo', 'water', 'climate_change', 'will', 'bring', 'high_temperature', 'to', 'southe']"
8,"['global_warming', 'to', 'impact', 'wheat', 'rice', 'production', 'in', 'india', 'ludhiana', 'apr', '18', 'scarcity', 'of', 'water', 'will', 'have', 'a', 'serious']"
9,"['how', 'do', 'we_solve', 'this', 'global_warming', 'thing']"
10,"['blog', 'a', 'preliminary', 'analysis', 'suggests_that', 'natural', 'gas', 'could', 'contribute', 'far', 'more', 'to', 'global_warming', 'than', 'previously']"
11,"['ecotone', 'climate_change', 'from', 'a', 'population', 'perspective']"
12,"['climate_change', 'blame', 'a', 'coastal', 'whale', 'migration', 'dwindles', 'à_', 'ventura', 'county']"
13,"['spring', 'storm', 'season', 'start', 'a', 'little', 'late', 'this_year', 'must', 'be', 'global_warming']"
14,"['government_report', 'say', 'global_warming', 'may_cause', 'cancer_mental', 'illness', 'cnsnews.com']"
15,"['for', 'earthday', 'global_warming', 'could', 'affect', 'patient', 'symptom']"
16,"['wait', ""here's"", 'an', 'idea', 'it', 'be', 'natural', 'climate_change', 'not', 'human', 'induced', 'global_warming']"
17,"['epa', 'issue', 'report', 'on', 'u', 'climate_change', 'indicator', 'warming', 'be', 'have', 'measurable', 'effect', 'across', 'ecosystem']"
18,"['qut', 'researcher', 'track', 'climate_change']"
19,"['global_warming', 'ocean_chemistry', 'be', 'change', 'faster_than', 'it', 'have', 'in', '800,000', 'year', 'and', 'that', 'be', 'because', 'of', 'the', 'carbon']"
20,"['topography', 'of', 'mountain', 'could', 'complicate', 'rate', 'of', 'global_warming', 'sciencedaily', 'apr', '25', '2010', 'à_', 'a', 'new', 'study', 'concl']"
21,"['soar', 'mercury', 'blame', 'it', 'on', 'global_warming', 'agartala', 'apr', '14', 'environmentalist', 'have', 'attribute', 'the']"
22,"['leader', 'of', 'national', 'indigenous', ""women's"", 'org', 'climate_change', 'be', 'not', 'just', 'abt', 'the', 'climate', 'it', 'abt', 'life', 'bit.ly/9gdzrw']"
23,"['have', 'there_be', 'any', 'reporting', 'on', 'if', 'the', 'increase', 'in', 'sediment', 'in', 'upper', 'atmospher', 'could', 'reduce', 'global_warming', 'effect', 'by', 'reduce', 'sun']"
24,"['effect_of', 'global_warming', 'à_', 'youtube', 'à_', 'effect_of', 'global_warming', 'stats', 'back', 'with', 'more', 'news', 'for', 'you', 'today', 'it', 'be', 'ama']"
25,"['it', 'be', 'global', 'climate', 'change-not', 'warming', 'ac', 'read']"
26,"['a', 'preliminary', 'analysis', 'suggests_that', 'natural', 'gas', 'could', 'contribute', 'far', 'more', 'to', 'global_warming', 'than', 'previously', 'thought']"
27,"['science', 'scientist', 'explore', 'the', 'evolution', 'of', 'climate_change']"
28,"['eaarth', 'global_warming', 'be', 'here', 'to', 'stay', 'how', 'will', 'we', 'deal_with', 'it']"
29,"['allergy_bad', 'than_ever', 'blame', 'global_warming']"
30,"['i', 'have', 'it', 'on', 'good', 'auth', 'tht', 'global_warming', 'also', 'cause', 'toe', 'fungus', 'we', 'all', 'fortunate', 'tht', 'thr', 'be', 'no', 'global_warming', 'tcot']"
31,"['illegal', 'war', 'and', 'the', 'myth', 'of', 'global_warming', 'my', 'main', 'campaign', 'platform', 'for', 'this', 'election', 'will', 'be', 'the', 'illegal']"
32,"['the', 'scientific', 'community', 'be', 'scam', 'by', 'global', 'green', 'gov', 'warming', 'scam']"
33,"['40', 'degree', 'in', 'nyc', 'please', 'urinate', 'on', 'next', 'liberal', 'global_warming', 'climate_change', 'scum', 'you', 'see']"
34,"['hey', 'al_gore', 'see', 'these', 'tornado', 'race', 'across', 'mississippi', 'so_much', 'for', 'global_warming', 'tornadocot', 'ocra', 'sgp', 'gop', 'ucot', 'tlot', 'p2', 'tycot']"
35,"['justinbiebersucks', 'and', 'global_warming', 'be', 'a', 'farce']"
36,"['one', 'stop', 'book', 'stop', 'confirm', 'global_warming', 'be', 'settle', 'à_', 'a', 'a', 'scam', 'wnd.com', ""sussman's"", 'book', 'the']"
37,"['rationalist', 'who', 'believe', 'alien', 'exist', 'global_warming', 'cause_by', 'human', 'might', 'a', 'well', 'believe_in', 'jesus', 'miracle', 'angel', 'fairy', 'tcot_p2']"
38,"['air', 'ban', 'lead', 'by', 'flaw', 'computer', 'model', 'global_warming', 'come', 'to', 'mind']"
